Sample in Buffer,Sample in Window,TRIGGER,voltmeter2_inst/adc_data[7:0],voltmeter2_inst/sin_wave[13:0],voltmeter2_inst/vrms[12:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,UNSIGNED
642,642,0,111,-625,703
643,643,0,110,-664,703
644,644,0,111,-625,703
645,645,0,110,-664,703
646,646,0,111,-625,703
647,647,0,110,-664,703
648,648,0,111,-625,703
649,649,0,110,-664,703
650,650,0,111,-625,703
651,651,0,110,-664,703
652,652,0,111,-625,703
653,653,0,110,-664,703
654,654,0,111,-625,703
655,655,0,111,-664,703
656,656,0,111,-625,703
657,657,0,110,-625,703
658,658,0,111,-625,703
659,659,0,110,-664,703
660,660,0,111,-625,703
661,661,0,110,-664,703
662,662,0,111,-625,703
663,663,0,111,-664,703
664,664,0,111,-625,703
665,665,0,111,-625,703
666,666,0,111,-625,703
667,667,0,111,-625,703
668,668,0,111,-625,703
669,669,0,111,-625,703
670,670,0,111,-625,703
671,671,0,111,-625,703
672,672,0,111,-625,703
673,673,0,111,-625,703
674,674,0,111,-625,703
675,675,0,111,-625,703
676,676,0,111,-625,703
677,677,0,111,-625,703
678,678,0,111,-625,703
679,679,0,111,-625,703
680,680,0,111,-625,703
681,681,0,111,-625,703
682,682,0,111,-625,703
683,683,0,111,-625,703
684,684,0,111,-625,703
685,685,0,111,-625,703
686,686,0,111,-625,703
687,687,0,111,-625,703
688,688,0,111,-625,703
689,689,0,111,-625,703
690,690,0,111,-625,703
691,691,0,111,-625,703
692,692,0,111,-625,703
693,693,0,111,-625,703
694,694,0,111,-625,703
695,695,0,111,-625,703
696,696,0,111,-625,703
697,697,0,111,-625,703
698,698,0,111,-625,703
699,699,0,111,-625,703
700,700,0,111,-625,703
701,701,0,111,-625,703
702,702,0,111,-625,703
703,703,0,111,-625,703
704,704,0,111,-625,703
705,705,0,96,-625,703
706,706,0,96,-625,703
707,707,0,111,-1210,703
708,708,0,96,-1210,703
709,709,0,111,-625,703
710,710,0,111,-1210,703
711,711,0,96,-625,703
712,712,0,111,-625,703
713,713,0,111,-1210,703
714,714,0,96,-625,703
715,715,0,111,-625,703
716,716,0,111,-1210,703
717,717,0,96,-625,703
718,718,0,96,-625,703
719,719,0,111,-1210,703
720,720,0,96,-1210,703
721,721,0,96,-625,703
722,722,0,96,-1210,703
723,723,0,96,-1210,703
724,724,0,96,-1210,703
725,725,0,111,-1210,703
726,726,0,96,-1210,703
727,727,0,111,-625,703
728,728,0,96,-1210,703
729,729,0,96,-625,703
730,730,0,96,-1210,703
731,731,0,96,-1210,703
732,732,0,96,-1210,703
733,733,0,96,-1210,703
734,734,0,96,-1210,703
735,735,0,96,-1210,703
736,736,0,96,-1210,703
737,737,0,96,-1210,703
738,738,0,96,-1210,703
739,739,0,96,-1210,703
740,740,0,96,-1210,703
741,741,0,96,-1210,703
742,742,0,96,-1210,703
743,743,0,96,-1210,703
744,744,0,96,-1210,703
745,745,0,96,-1210,703
746,746,0,96,-1210,703
747,747,0,96,-1210,703
748,748,0,96,-1210,703
749,749,0,96,-1210,703
750,750,0,96,-1210,703
751,751,0,111,-1210,703
752,752,0,96,-1210,703
753,753,0,111,-625,703
754,754,0,111,-1210,703
755,755,0,111,-625,703
756,756,0,111,-625,703
757,757,0,111,-625,703
758,758,0,111,-625,703
759,759,0,111,-625,703
760,760,0,111,-625,703
761,761,0,111,-625,703
762,762,0,111,-625,703
763,763,0,110,-625,703
764,764,0,111,-625,703
765,765,0,110,-664,703
766,766,0,111,-625,703
767,767,0,110,-664,703
768,768,0,111,-625,703
769,769,0,110,-664,703
770,770,0,111,-625,703
771,771,0,110,-664,703
772,772,0,110,-625,703
773,773,0,110,-664,703
774,774,0,110,-664,703
775,775,0,110,-664,703
776,776,0,110,-664,703
777,777,0,109,-664,703
778,778,0,110,-664,703
779,779,0,110,-703,703
780,780,0,110,-664,703
781,781,0,109,-664,703
782,782,0,110,-664,703
783,783,0,109,-703,703
784,784,0,109,-664,703
785,785,0,109,-703,703
786,786,0,109,-703,703
787,787,0,109,-703,703
788,788,0,109,-703,703
789,789,0,109,-703,703
790,790,0,109,-703,703
791,791,0,109,-703,703
792,792,0,109,-703,703
793,793,0,109,-703,703
794,794,0,109,-703,703
795,795,0,109,-703,703
796,796,0,109,-703,703
797,797,0,109,-703,703
798,798,0,109,-703,703
799,799,0,109,-703,703
800,800,0,108,-703,703
801,801,0,109,-703,703
802,802,0,109,-742,703
803,803,0,109,-703,703
804,804,0,109,-703,703
805,805,0,109,-703,703
806,806,0,109,-703,703
807,807,0,109,-703,703
808,808,0,108,-703,703
809,809,0,109,-703,703
810,810,0,108,-742,703
811,811,0,108,-703,703
812,812,0,108,-742,703
813,813,0,108,-742,703
814,814,0,108,-742,703
815,815,0,108,-742,703
816,816,0,108,-742,703
817,817,0,108,-742,703
818,818,0,108,-742,703
819,819,0,108,-742,703
820,820,0,108,-742,703
821,821,0,108,-742,703
822,822,0,108,-742,703
823,823,0,108,-742,703
824,824,0,108,-742,703
825,825,0,108,-742,703
826,826,0,108,-742,703
827,827,0,108,-742,703
828,828,0,108,-742,703
829,829,0,108,-742,703
830,830,0,108,-742,703
831,831,0,108,-742,703
832,832,0,108,-742,703
833,833,0,108,-742,703
834,834,0,108,-742,703
835,835,0,108,-742,703
836,836,0,108,-742,703
837,837,0,108,-742,703
838,838,0,108,-742,703
839,839,0,108,-742,703
840,840,0,108,-742,703
841,841,0,108,-742,703
842,842,0,108,-742,703
843,843,0,108,-742,703
844,844,0,108,-742,703
845,845,0,108,-742,703
846,846,0,108,-742,703
847,847,0,108,-742,703
848,848,0,108,-742,703
849,849,0,108,-742,703
850,850,0,108,-742,703
851,851,0,108,-742,703
852,852,0,108,-742,703
853,853,0,108,-742,703
854,854,0,108,-742,703
855,855,0,108,-742,703
856,856,0,108,-742,703
857,857,0,108,-742,703
858,858,0,108,-742,703
859,859,0,108,-742,703
860,860,0,108,-742,703
861,861,0,108,-742,703
862,862,0,108,-742,703
863,863,0,108,-742,703
864,864,0,108,-742,703
865,865,0,108,-742,703
866,866,0,108,-742,703
867,867,0,108,-742,703
868,868,0,108,-742,703
869,869,0,108,-742,703
870,870,0,108,-742,703
871,871,0,108,-742,703
872,872,0,108,-742,703
873,873,0,108,-742,703
874,874,0,108,-742,703
875,875,0,108,-742,703
876,876,0,108,-742,703
877,877,0,108,-742,703
878,878,0,108,-742,703
879,879,0,108,-742,703
880,880,0,108,-742,703
881,881,0,108,-742,703
882,882,0,108,-742,703
883,883,0,108,-742,703
884,884,0,108,-742,703
885,885,0,108,-742,703
886,886,0,108,-742,703
887,887,0,108,-742,703
888,888,0,108,-742,703
889,889,0,108,-742,703
890,890,0,108,-742,703
891,891,0,108,-742,703
892,892,0,108,-742,703
893,893,0,108,-742,703
894,894,0,108,-742,703
895,895,0,108,-742,703
896,896,0,108,-742,703
897,897,0,108,-742,703
898,898,0,108,-742,703
899,899,0,108,-742,703
900,900,0,108,-742,703
901,901,0,108,-742,703
902,902,0,108,-742,703
903,903,0,108,-742,703
904,904,0,108,-742,703
905,905,0,108,-742,703
906,906,0,108,-742,703
907,907,0,108,-742,703
908,908,0,108,-742,703
909,909,0,108,-742,703
910,910,0,108,-742,703
911,911,0,108,-742,703
912,912,0,108,-742,703
913,913,0,108,-742,703
914,914,0,108,-742,703
915,915,0,108,-742,703
916,916,0,108,-742,703
917,917,0,108,-742,703
918,918,0,108,-742,703
919,919,0,108,-742,703
920,920,0,108,-742,703
921,921,0,108,-742,703
922,922,0,108,-742,703
923,923,0,108,-742,703
924,924,0,108,-742,703
925,925,0,108,-742,703
926,926,0,108,-742,703
927,927,0,108,-742,703
928,928,0,108,-742,703
929,929,0,108,-742,703
930,930,0,108,-742,703
931,931,0,108,-742,703
932,932,0,108,-742,703
933,933,0,108,-742,703
934,934,0,108,-742,703
935,935,0,108,-742,703
936,936,0,108,-742,703
937,937,0,108,-742,703
938,938,0,108,-742,703
939,939,0,108,-742,703
940,940,0,108,-742,703
941,941,0,108,-742,703
942,942,0,108,-742,703
943,943,0,108,-742,703
944,944,0,108,-742,703
945,945,0,108,-742,703
946,946,0,108,-742,703
947,947,0,108,-742,703
948,948,0,109,-742,703
949,949,0,108,-742,703
950,950,0,108,-703,703
951,951,0,108,-742,703
952,952,0,109,-742,703
953,953,0,108,-742,703
954,954,0,108,-703,703
955,955,0,108,-742,703
956,956,0,108,-742,703
957,957,0,109,-742,703
958,958,0,109,-742,703
959,959,0,109,-703,703
960,960,0,108,-703,703
961,961,0,109,-703,703
962,962,0,109,-742,703
963,963,0,109,-703,703
964,964,0,108,-703,703
965,965,0,109,-703,703
966,966,0,108,-742,703
967,967,0,109,-703,703
968,968,0,109,-742,703
969,969,0,109,-703,703
970,970,0,109,-703,703
971,971,0,109,-703,703
972,972,0,109,-703,703
973,973,0,109,-703,703
974,974,0,109,-703,703
975,975,0,109,-703,703
976,976,0,109,-703,703
977,977,0,109,-703,703
978,978,0,109,-703,703
979,979,0,109,-703,703
980,980,0,109,-703,703
981,981,0,109,-703,703
982,982,0,109,-703,703
983,983,0,109,-703,703
984,984,0,109,-703,703
985,985,0,109,-703,703
986,986,0,109,-703,703
987,987,0,109,-703,703
988,988,0,109,-703,703
989,989,0,109,-703,703
990,990,0,109,-703,703
991,991,0,109,-703,703
992,992,0,109,-703,703
993,993,0,109,-703,703
994,994,0,109,-703,703
995,995,0,109,-703,703
996,996,0,109,-703,703
997,997,0,109,-703,703
998,998,0,109,-703,703
999,999,0,109,-703,703
1000,1000,0,109,-703,703
1001,1001,0,109,-703,703
1002,1002,0,109,-703,703
1003,1003,0,109,-703,703
1004,1004,0,109,-703,703
1005,1005,0,109,-703,703
1006,1006,0,109,-703,703
1007,1007,0,109,-703,703
1008,1008,0,110,-703,703
1009,1009,0,109,-703,703
1010,1010,0,110,-664,703
1011,1011,0,109,-703,703
1012,1012,0,109,-664,703
1013,1013,0,109,-703,703
1014,1014,0,109,-703,703
1015,1015,0,109,-703,703
1016,1016,0,110,-703,703
1017,1017,0,109,-703,703
1018,1018,0,109,-664,703
1019,1019,0,109,-703,703
1020,1020,0,109,-703,703
1021,1021,0,109,-703,703
1022,1022,0,109,-703,703
1023,1023,0,109,-703,703
1024,1024,0,110,-703,703
1025,1025,0,109,-703,703
1026,1026,0,110,-664,703
